keyword,count,viral_count,viral_ratio
vneck,6,6,1.0
fulltime,6,6,1.0
green,6,6,1.0
artist,6,6,1.0
movies,6,6,1.0
cause,19,16,0.8421052631578947
sleeve,5,4,0.8
winter,13,10,0.7692307692307693
baggy,13,10,0.7692307692307693
classes,8,6,0.75
school,14,10,0.7142857142857143
hair,14,10,0.7142857142857143
niche,40,28,0.7
paris,6,4,0.6666666666666666
chance,6,4,0.6666666666666666
layer,6,4,0.6666666666666666
stick,6,4,0.6666666666666666
cared,6,4,0.6666666666666666
fly,6,4,0.6666666666666666
beanie,6,4,0.6666666666666666
moved,7,4,0.5714285714285714
art,14,8,0.5714285714285714
flow,14,8,0.5714285714285714
shirt,27,14,0.5185185185185185
pairs,8,4,0.5
shows,8,4,0.5
wax,8,4,0.5
jacket,17,8,0.47058823529411764
throw,26,12,0.46153846153846156
wrong,18,8,0.4444444444444444
basic,18,8,0.4444444444444444
game,9,4,0.4444444444444444
shorts,14,6,0.42857142857142855
bag,33,14,0.42424242424242425
fucking,24,10,0.4166666666666667
figure,15,6,0.4
regular,10,4,0.4
stuck,10,4,0.4
oversized,10,4,0.4
supposed,10,4,0.4
small,10,4,0.4
pink,10,4,0.4
care,10,4,0.4
app,10,4,0.4
starts,5,2,0.4
final,20,8,0.4
went,11,4,0.36363636363636365
thinking,11,4,0.36363636363636365
button,11,4,0.36363636363636365
believe,11,4,0.36363636363636365
case,11,4,0.36363636363636365
colors,11,4,0.36363636363636365
started,28,10,0.35714285714285715
tie,17,6,0.35294117647058826
shape,6,2,0.3333333333333333
turn,12,4,0.3333333333333333
designer,6,2,0.3333333333333333
actual,12,4,0.3333333333333333
career,12,4,0.3333333333333333
flat,6,2,0.3333333333333333
platforms,12,4,0.3333333333333333
enjoyed,6,2,0.3333333333333333
effortless,6,2,0.3333333333333333
headband,6,2,0.3333333333333333
leads,6,2,0.3333333333333333
depending,6,2,0.3333333333333333
lines,6,2,0.3333333333333333
designing,6,2,0.3333333333333333
ton,6,2,0.3333333333333333
design,12,4,0.3333333333333333
infinity,6,2,0.3333333333333333
anymore,6,2,0.3333333333333333
fully,6,2,0.3333333333333333
cat,6,2,0.3333333333333333
hours,6,2,0.3333333333333333
learning,6,2,0.3333333333333333
college,6,2,0.3333333333333333
explain,6,2,0.3333333333333333
specifically,6,2,0.3333333333333333
breathe,6,2,0.3333333333333333
20,6,2,0.3333333333333333
fitted,6,2,0.3333333333333333
jewelry,18,6,0.3333333333333333
paying,6,2,0.3333333333333333
feel,80,26,0.325
saying,7,2,0.2857142857142857
peace,7,2,0.2857142857142857
sorry,7,2,0.2857142857142857
learned,7,2,0.2857142857142857
growing,7,2,0.2857142857142857
size,7,2,0.2857142857142857
comments,28,8,0.2857142857142857
feet,7,2,0.2857142857142857
ones,15,4,0.26666666666666666
reach,8,2,0.25
promise,8,2,0.25
balance,8,2,0.25
end,16,4,0.25
lately,8,2,0.25
helped,8,2,0.25
clip,8,2,0.25
shoes,40,10,0.25
tailored,8,2,0.25
accessories,32,8,0.25
silhouette,8,2,0.25
underneath,8,2,0.25
saw,8,2,0.25
pants,33,8,0.24242424242424243
today,42,10,0.23809523809523808
bye,17,4,0.23529411764705882
isnt,17,4,0.23529411764705882
tshirt,17,4,0.23529411764705882
taking,26,6,0.23076923076923078
best,44,10,0.22727272727272727
wouldnt,9,2,0.2222222222222222
head,9,2,0.2222222222222222
hey,9,2,0.2222222222222222
cover,9,2,0.2222222222222222
dresses,18,4,0.2222222222222222
friends,18,4,0.2222222222222222
guess,9,2,0.2222222222222222
changed,19,4,0.21052631578947367
literally,38,8,0.21052631578947367
nice,39,8,0.20512820512820512
wearing,79,16,0.20253164556962025
hope,20,4,0.2
definitely,20,4,0.2
consistent,10,2,0.2
god,10,2,0.2
ahead,10,2,0.2
course,10,2,0.2
sense,10,2,0.2
wanna,50,10,0.2
shoe,10,2,0.2
bunch,10,2,0.2
selling,10,2,0.2
bigger,10,2,0.2
tops,10,2,0.2
break,10,2,0.2
straight,10,2,0.2
play,10,2,0.2
fit,42,8,0.19047619047619047
used,21,4,0.19047619047619047
im,380,72,0.18947368421052632
okay,85,16,0.18823529411764706
didnt,32,6,0.1875
cute,65,12,0.18461538461538463
putting,22,4,0.18181818181818182
crazy,11,2,0.18181818181818182
similar,11,2,0.18181818181818182
word,11,2,0.18181818181818182
que,22,4,0.18181818181818182
gonna,183,32,0.17486338797814208
perfect,23,4,0.17391304347826086
id,23,4,0.17391304347826086
belt,12,2,0.16666666666666666
tones,12,2,0.16666666666666666
interesting,12,2,0.16666666666666666
pick,24,4,0.16666666666666666
house,12,2,0.16666666666666666
rest,12,2,0.16666666666666666
enjoy,12,2,0.16666666666666666
kiss,12,2,0.16666666666666666
short,12,2,0.16666666666666666
white,49,8,0.16326530612244897
especially,25,4,0.16
thought,25,4,0.16
follow,38,6,0.15789473684210525
room,13,2,0.15384615384615385
pack,13,2,0.15384615384615385
gotta,13,2,0.15384615384615385
